Step 000 | Total Reward: +0.110 | Correctness: 0.00 | Hack Pen: 0.00
Step 020 | Total Reward: +0.188 | Correctness: 0.00 | Hack Pen: 0.00
Step 040 | Total Reward: +0.218 | Correctness: 0.00 | Hack Pen: 0.00
Step 060 | Total Reward: +0.273 | Correctness: 0.00 | Hack Pen: 0.00
Step 080 | Total Reward: -0.060 | Correctness: 0.00 | Hack Pen: -0.56
Step 100 | Total Reward: +0.468 | Correctness: 0.00 | Hack Pen: 0.00
Step 120 | Total Reward: +0.484 | Correctness: 0.00 | Hack Pen: 0.00
Step 140 | Total Reward: +0.613 | Correctness: 0.00 | Hack Pen: 0.00
Step 160 | Total Reward: +0.655 | Correctness: 0.00 | Hack Pen: 0.00
Step 180 | Total Reward: +1.138 | Correctness: 0.25 | Hack Pen: 0.00
Step 200 | Total Reward: +0.900 | Correctness: 0.14 | Hack Pen: 0.00
Step 220 | Total Reward: +2.009 | Correctness: 0.83 | Hack Pen: 0.00
Step 240 | Total Reward: +1.991 | Correctness: 0.78 | Hack Pen: 0.00
Step 260 | Total Reward: +1.337 | Correctness: 0.18 | Hack Pen: 0.00
Step 280 | Total Reward: +2.500 | Correctness: 0.96 | Hack Pen: 0.00
Step 300 | Total Reward: +1.455 | Correctness: 0.18 | Hack Pen: 0.00
Step 320 | Total Reward: +1.400 | Correctness: 0.15 | Hack Pen: 0.00
Step 340 | Total Reward: +2.500 | Correctness: 0.96 | Hack Pen: 0.00
Step 360 | Total Reward: +2.319 | Correctness: 0.75 | Hack Pen: 0.00
Step 380 | Total Reward: +2.044 | Correctness: 0.66 | Hack Pen: 0.00
