Step 000 | Total Reward: +0.146 | Correctness: 0.00 | Hack Pen: 0.00
Step 020 | Total Reward: +0.146 | Correctness: 0.00 | Hack Pen: 0.00
Step 040 | Total Reward: +0.268 | Correctness: 0.00 | Hack Pen: 0.00
Step 060 | Total Reward: -0.116 | Correctness: 0.00 | Hack Pen: -0.44
Step 080 | Total Reward: +0.460 | Correctness: 0.00 | Hack Pen: 0.00
Step 100 | Total Reward: +0.438 | Correctness: 0.00 | Hack Pen: 0.00
Step 120 | Total Reward: +0.540 | Correctness: 0.00 | Hack Pen: 0.00
Step 140 | Total Reward: +0.623 | Correctness: 0.00 | Hack Pen: 0.00
Step 160 | Total Reward: +0.698 | Correctness: 0.00 | Hack Pen: 0.00
Step 180 | Total Reward: +0.752 | Correctness: 0.05 | Hack Pen: 0.00
Step 200 | Total Reward: +1.118 | Correctness: 0.30 | Hack Pen: 0.00
Step 220 | Total Reward: +1.119 | Correctness: 0.21 | Hack Pen: 0.00
Step 240 | Total Reward: +1.417 | Correctness: 0.33 | Hack Pen: 0.00
Step 260 | Total Reward: +2.385 | Correctness: 0.85 | Hack Pen: 0.00
Step 280 | Total Reward: +2.500 | Correctness: 0.97 | Hack Pen: 0.00
Step 300 | Total Reward: +1.221 | Correctness: 0.04 | Hack Pen: 0.00
Step 320 | Total Reward: +1.683 | Correctness: 0.35 | Hack Pen: 0.00
Step 340 | Total Reward: +2.190 | Correctness: 0.67 | Hack Pen: 0.00
Step 360 | Total Reward: +2.434 | Correctness: 0.82 | Hack Pen: 0.00
Step 380 | Total Reward: +2.497 | Correctness: 0.96 | Hack Pen: 0.00
